Assay Definition

Assay Description:
Repeat count low-level assay for 3H in UG LLT counting 1L run 2 vials OV 3 and 4 from set 1 through set 10
Assay Type: DPM (Single)
Report Name: Report1
Output Data Path: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various
Raw Results Path: C:\Packard\Tricarb\Results\Default\Flibe_Test\20250116_0726\20250116_0726.results
Comma-Delimited File Name: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various\REPEAT_IV-2-1_TO_2-10.csv
Assay File Name: C:\Packard\TriCarb\Assays\Flibe_Test.lsa


Count Conditions

Nuclide: 3H UG LLT Normal     
   Quench Indicator: tSIE/AEC
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 6        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.0     18.6
B              2.0     18.6
C              4.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


S#,SMPL_ID,Bq:1,CPMA,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
6,1L-IV_2-2-3,5.234,84,0,288.34,26.61,100.00,314
6,1L-IV_2-2-3,5.224,83,0,288.00,26.59,100.00,313
6,1L-IV_2-2-3,5.207,83,0,287.45,26.54,100.00,312
6,1L-IV_2-2-3,5.177,83,0,288.02,26.59,100.00,311
6,1L-IV_2-2-3,5.352,86,0,289.03,26.67,100.00,321
6,1L-IV_2-2-3,5.228,84,0,289.09,26.68,100.00,314
,,5.237,84,0,288.32,26.61,,314

7,1L-IV_2-2-4,0.541,9,0,289.00,26.67,100.00,32
7,1L-IV_2-2-4,0.549,9,0,289.06,26.68,100.00,33
7,1L-IV_2-2-4,0.554,9,0,289.38,26.70,100.00,33
7,1L-IV_2-2-4,0.554,9,0,288.87,26.66,100.00,33
7,1L-IV_2-2-4,0.523,8,0,289.29,26.70,100.00,31
7,1L-IV_2-2-4,0.547,9,0,289.46,26.71,100.00,33
,,0.545,9,0,289.17,26.69,,33

Missing vial 8.
9,1L-IV_2-3-3,10.588,171,0,290.84,26.85,100.00,635
9,1L-IV_2-3-3,10.633,171,0,290.79,26.85,100.00,638
9,1L-IV_2-3-3,10.727,172,0,289.48,26.71,100.00,644
9,1L-IV_2-3-3,10.602,170,0,289.75,26.74,100.00,636
9,1L-IV_2-3-3,10.499,169,0,291.11,26.88,100.00,630
9,1L-IV_2-3-3,10.527,169,0,290.62,26.83,100.00,632
,,10.596,170,0,290.43,26.81,,636

10,1L-IV_2-3-4,1.400,22,0,288.82,26.66,100.00,84
10,1L-IV_2-3-4,1.323,21,0,288.44,26.62,100.00,79
10,1L-IV_2-3-4,1.401,22,0,287.39,26.53,100.00,84
10,1L-IV_2-3-4,1.352,22,0,288.11,26.59,100.00,81
10,1L-IV_2-3-4,1.333,21,0,288.73,26.65,100.00,80
10,1L-IV_2-3-4,1.338,21,0,288.65,26.64,100.00,80
,,1.358,22,0,288.36,26.62,,81

Missing vial 11.
12,1L-IV_2-4-3,8.477,136,0,290.25,26.79,100.00,509
12,1L-IV_2-4-3,8.473,136,0,289.67,26.73,100.00,508
12,1L-IV_2-4-3,8.533,137,0,289.60,26.72,100.00,512
12,1L-IV_2-4-3,8.525,137,0,289.92,26.76,100.00,512
12,1L-IV_2-4-3,8.443,135,0,289.31,26.70,100.00,507
12,1L-IV_2-4-3,8.566,137,0,288.18,26.60,100.00,514
,,8.503,136,0,289.49,26.72,,510

13,1L-IV_2-4-4,1.122,18,0,288.07,26.59,100.00,67
13,1L-IV_2-4-4,1.109,18,0,287.14,26.51,100.00,67
13,1L-IV_2-4-4,1.116,18,0,288.18,26.60,100.00,67
13,1L-IV_2-4-4,1.082,17,0,288.30,26.61,100.00,65
13,1L-IV_2-4-4,1.100,18,0,287.96,26.58,100.00,66
13,1L-IV_2-4-4,1.156,18,0,286.88,26.49,100.00,69
,,1.114,18,0,287.76,26.56,,67

Missing vial 14.
15,1L-IV_2-5-3,10.485,166,0,286.47,26.45,100.00,629
15,1L-IV_2-5-3,10.632,169,0,287.45,26.54,100.00,638
15,1L-IV_2-5-3,10.777,172,0,287.64,26.55,100.00,647
15,1L-IV_2-5-3,10.523,168,0,287.99,26.58,100.00,631
15,1L-IV_2-5-3,10.642,170,0,288.02,26.59,100.00,639
15,1L-IV_2-5-3,10.286,165,0,289.01,26.67,100.00,617
,,10.557,168,0,287.76,26.57,,633

16,1L-IV_2-5-4,1.791,29,0,289.34,26.70,100.00,107
16,1L-IV_2-5-4,1.772,28,0,287.16,26.51,100.00,106
16,1L-IV_2-5-4,1.872,30,0,287.02,26.50,100.00,112
16,1L-IV_2-5-4,1.796,29,0,286.66,26.47,100.00,108
16,1L-IV_2-5-4,1.787,28,0,287.43,26.54,100.00,107
16,1L-IV_2-5-4,1.801,29,0,288.90,26.66,100.00,108
,,1.803,29,0,287.75,26.56,,108

Missing vial 17.
18,1L-IV_2-6-3,10.294,165,0,288.59,26.64,100.00,618
18,1L-IV_2-6-3,10.285,164,0,287.37,26.53,100.00,617
18,1L-IV_2-6-3,10.464,167,0,288.04,26.59,100.00,628
18,1L-IV_2-6-3,10.246,163,0,287.61,26.55,100.00,615
18,1L-IV_2-6-3,10.230,163,0,288.29,26.61,100.00,614
18,1L-IV_2-6-3,10.229,164,0,289.00,26.67,100.00,614
,,10.291,164,0,288.15,26.60,,617

19,1L-IV_2-6-4,2.253,37,0,292.60,27.03,100.00,135
19,1L-IV_2-6-4,2.110,34,0,293.37,27.11,100.00,127
19,1L-IV_2-6-4,2.068,34,0,292.88,27.06,100.00,124
19,1L-IV_2-6-4,2.019,33,0,292.03,26.97,100.00,121
19,1L-IV_2-6-4,2.135,35,0,291.93,26.96,100.00,128
19,1L-IV_2-6-4,2.047,33,0,292.77,27.05,100.00,123
,,2.106,34,0,292.60,27.03,,126

Missing vial 20.
21,1L-IV_2-7-3,10.905,175,0,289.73,26.74,100.00,654
21,1L-IV_2-7-3,10.899,175,0,289.94,26.76,100.00,654
21,1L-IV_2-7-3,10.778,173,0,289.97,26.76,100.00,647
21,1L-IV_2-7-3,10.828,174,0,290.13,26.78,100.00,650
21,1L-IV_2-7-3,10.910,176,0,290.74,26.84,100.00,655
21,1L-IV_2-7-3,10.768,174,0,291.15,26.88,100.00,646
,,10.848,174,0,290.28,26.79,,651

22,1L-IV_2-7-4,1.849,30,0,291.39,26.91,100.00,111
22,1L-IV_2-7-4,1.879,30,0,291.44,26.91,100.00,113
22,1L-IV_2-7-4,1.852,30,0,290.92,26.86,100.00,111
22,1L-IV_2-7-4,1.802,29,0,291.63,26.93,100.00,108
22,1L-IV_2-7-4,1.837,30,0,292.13,26.98,100.00,110
22,1L-IV_2-7-4,1.806,29,0,292.59,27.03,100.00,108
,,1.838,30,0,291.68,26.94,,110

Missing vial 23.
24,1L-IV_2-8-3,9.968,160,0,289.65,26.73,100.00,598
24,1L-IV_2-8-3,10.049,161,0,289.09,26.68,100.00,603
24,1L-IV_2-8-3,10.123,162,0,288.87,26.66,100.00,607
24,1L-IV_2-8-3,10.027,161,0,289.78,26.74,100.00,602
24,1L-IV_2-8-3,9.885,159,0,290.24,26.79,100.00,593
24,1L-IV_2-8-3,9.979,160,0,289.49,26.71,100.00,599
,,10.005,160,0,289.52,26.72,,600

25,1L-IV_2-8-4,2.660,43,0,290.61,26.83,100.00,160
25,1L-IV_2-8-4,2.658,43,0,289.44,26.71,100.00,160
25,1L-IV_2-8-4,2.598,42,0,290.71,26.84,100.00,156
25,1L-IV_2-8-4,2.642,43,0,290.72,26.84,100.00,158
25,1L-IV_2-8-4,2.674,43,0,290.13,26.78,100.00,160
25,1L-IV_2-8-4,2.662,43,0,289.79,26.74,100.00,160
,,2.649,43,0,290.23,26.79,,159

Missing vial 26.
27,1L-IV_2-9-3,5.809,93,0,290.49,26.81,100.00,349
27,1L-IV_2-9-3,5.790,93,0,289.88,26.75,100.00,347
27,1L-IV_2-9-3,5.831,93,0,288.93,26.66,100.00,350
27,1L-IV_2-9-3,5.956,95,0,286.42,26.45,100.00,357
27,1L-IV_2-9-3,6.001,95,0,287.04,26.50,100.00,360
27,1L-IV_2-9-3,5.909,94,0,288.48,26.63,100.00,355
,,5.883,94,0,288.54,26.64,,353

28,1L-IV_2-9-4,1.627,26,0,290.87,26.85,100.00,98
28,1L-IV_2-9-4,1.635,26,0,291.69,26.94,100.00,98
28,1L-IV_2-9-4,1.681,27,0,291.34,26.90,100.00,101
28,1L-IV_2-9-4,1.695,27,0,291.97,26.97,100.00,102
28,1L-IV_2-9-4,1.679,27,0,290.63,26.83,100.00,101
28,1L-IV_2-9-4,1.692,27,0,291.08,26.88,100.00,102
,,1.668,27,0,291.26,26.89,,100

Missing vial 29.
30,1L-IV_2-10-3,3.685,59,0,289.92,26.76,100.00,221
30,1L-IV_2-10-3,3.812,61,0,289.14,26.68,100.00,229
30,1L-IV_2-10-3,3.783,61,0,290.37,26.80,100.00,227
30,1L-IV_2-10-3,3.733,60,0,289.52,26.72,100.00,224
30,1L-IV_2-10-3,3.734,60,0,288.16,26.60,100.00,224
30,1L-IV_2-10-3,3.773,60,0,288.64,26.64,100.00,226
,,3.754,60,0,289.29,26.70,,225

31,1L-IV_2-10-4,1.113,18,0,289.33,26.70,100.00,67
31,1L-IV_2-10-4,1.178,19,0,288.63,26.64,100.00,71
31,1L-IV_2-10-4,1.199,19,0,289.28,26.69,100.00,72
31,1L-IV_2-10-4,1.129,18,0,288.63,26.64,100.00,68
31,1L-IV_2-10-4,1.091,17,0,288.70,26.65,100.00,65
31,1L-IV_2-10-4,1.133,18,0,289.37,26.70,100.00,68
,,1.140,18,0,288.99,26.67,,68

